Unnamed: 0,head,variable,value,prob
8,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,level,level_3,1
9,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,level,level_1,1
38,Course1_W7-S1-L2_Two_Example_Problems_11-19,prerequisite,Course1_W7-S1-L1_Introduction_0-47,1
47,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,prerequisite,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,1
64,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,level,level_1,1
70,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,prerequisite,Course2_W4-S1-L5_Generative_vs,1
75,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,level,level_1,1
88,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,prerequisite,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,1
94,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,prerequisite,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,1
100,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,prerequisite,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,1
105,Course1_W3-S1-L1_Introduction_0-28,level,level_1,1
120,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,level,level_3,1
123,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,level,level_1,1
125,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,level,level_3,1
169,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,level,level_1,1
170,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,level,level_1,1
189,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,prerequisite,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48,1
201,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,level,level_2,1
203,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,prerequisite,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,1
238,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,level,level_2,1
257,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,level,level_3,1
277,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,prerequisite,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,1
281,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,prerequisite,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,1
311,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,level,level_2,1
349,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,level,level_3,1
365,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,level,level_1,1
373,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,prerequisite,Course1_W5-S2-L1_Introduction_3-24,1
398,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,prerequisite,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,1
403,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,level,level_3,1
422,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,level,level_3,1
459,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,prerequisite,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,1
486,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,prerequisite,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,1
488,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,prerequisite,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,1
493,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,level,level_1,1
511,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,level,level_3,1
518,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,prerequisite,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,1
547,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,level,level_3,1
571,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,prerequisite,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,1
581,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,level,level_2,1
584,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,level,level_1,1
594,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,prerequisite,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,1
604,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,level,level_2,1
630,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,level,level_3,1
666,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,prerequisite,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,1
689,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,prerequisite,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,1
691,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,prerequisite,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,1
743,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,level,level_3,1
751,Course2_W8-S2-L1_What_is_Question_Answering_7-28,level,level_3,1
762,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,level,level_3,1
770,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,level,level_3,1
779,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,prerequisite,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,1
803,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,prerequisite,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,1
838,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,level,level_1,1
875,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,prerequisite,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,1
884,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,prerequisite,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,1
892,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,level,level_3,1
913,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,prerequisite,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,1
923,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,prerequisite,Course2_W7-S1-L3_The_Inverted_Index_10-42,1
926,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,prerequisite,Course2_W6-S2-L2_Charniaks_Model_18-23,1
932,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,level,level_1,1
935,Course1_W8-S1-L7_An_Example_Application_9-28,level,level_1,1
937,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,prerequisite,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,1
950,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,prerequisite,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,1
959,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,level,level_2,1
976,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,prerequisite,Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49,1
1021,Course1_W1-S3-L5_Summary_2-31,level,level_1,1
1035,Course3_W3-S1-L4_-_Dimensionality_Reduction_-_38_slides_23-50,prerequisite,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,1
1045,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,prerequisite,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,1
1054,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,level,level_1,1
1057,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,level,level_2,1
1088,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17,prerequisite,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,1
1134,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,prerequisite,Course1_W10-S1-L2_Recap_of_GLMs_7-40,1
1149,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,prerequisite,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,1
1157,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,level,level_3,1
1160,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,level,level_3,1
1182,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,level,level_3,1
1209,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02,prerequisite,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,1
1243,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,prerequisite,Course2_W8-S2-L1_What_is_Question_Answering_7-28,1
1270,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,level,level_2,1
1271,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,prerequisite,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,1
1272,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,prerequisite,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,1
1286,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,prerequisite,Course2_W1-S2-L3_Word_Tokenization_14-26,1
1288,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,prerequisite,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,1
1302,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,prerequisite,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,1
1310,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,prerequisite,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,1
1315,Course2_W2-S1-L6_Interpolation_10-25,level,level_3,1
1328,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,prerequisite,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,1
1382,Course1_W5-S1-L1_Opening_Comments_0-25,level,level_1,1
1415,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,level,level_3,1
1425,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,level,level_2,1
1484,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,prerequisite,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,1
1570,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,level,level_3,1
1585,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,level,level_1,1
1620,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20,level,level_1,1
1644,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,level,level_1,1
1679,Course2_W3-S1-L2_Naive_Bayes_3-19,level,level_3,1
1691,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,prerequisite,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,1
1750,Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55,level,level_2,1
1751,Course2_W6-S2-L2_Charniaks_Model_18-23,prerequisite,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,1
1873,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,prerequisite,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,1
1879,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,prerequisite,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,1
1892,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,prerequisite,Course1_W9-S1-L1_Introduction_0-36,1
1917,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,level,level_2,1
1926,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,level,level_1,1
1952,Course1_W9-S2-L1_Introduction_0-30,prerequisite,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,1
1963,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,prerequisite,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,1
2004,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,level,level_2,1
2034,Course2_W1-S2-L1_Regular_Expressions_11-25,level,level_3,1
2100,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,prerequisite,Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36,1
2114,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,prerequisite,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,1
2116,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,prerequisite,Course3_W6-S1-L7_-_Word_Sense_Disambiguation_-_15_slides_20-06,1
2118,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,level,level_2,1
2159,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,level,level_2,1
2161,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,level,level_1,1
2188,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,prerequisite,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,1
2191,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,level,level_1,1
2220,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,prerequisite,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,1
2224,Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,level,level_3,1
2234,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,level,level_2,1
2256,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,prerequisite,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,1
2280,Course1_W10-S1-L1_Introduction_1-02,level,level_1,1
2286,Course1_W8-S1-L8_Summary_2-45,prerequisite,Course1_W8-S1-L7_An_Example_Application_9-28,1
2302,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,level,level_1,1
2313,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,level,level_2,1
2357,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,level,level_1,1
2394,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,prerequisite,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,1
2424,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,prerequisite,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,1
2433,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,prerequisite,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,1
2456,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,level,level_2,1
2464,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,prerequisite,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,1
2482,Course2_W4-S1-L1_Generative_vs,prerequisite,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,1
2512,Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52,level,level_2,1
2518,Course2_W6-S2-L2_Charniaks_Model_18-23,level,level_3,1
2529,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,prerequisite,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,1
2534,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,level,level_2,1
2542,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,prerequisite,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,1
2551,Course1_W9-S2-L7_Summary_3-01,prerequisite,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,1
2555,Course1_W9-S2-L7_Summary_3-01,level,level_1,1
2557,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,level,level_1,1
2602,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,prerequisite,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,1
2603,Course1_W10-S2-L1_Introduction_0-37,prerequisite,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,1
2630,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,level,level_2,1
2636,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,level,level_3,1
2663,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,prerequisite,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,1
2679,Course1_W3-S2-L1_Introduction_1-12,prerequisite,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20,1
2691,Course1_W10-S1-L1_Introduction_1-02,prerequisite,Course1_W1-S3-L5_Summary_2-31,1
2726,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,prerequisite,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,1
2754,Course1_W5-S2-L9_Summary_1-48,level,level_1,1
2775,Course1_W2-S1-L8_Summary_1-50,prerequisite,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,1
2797,Course1_W7-S1-L1_Introduction_0-47,level,level_1,1
2822,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,prerequisite,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,1
2827,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,prerequisite,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,1
2862,Course1_W10-S1-L2_Recap_of_GLMs_7-40,prerequisite,Course1_W10-S1-L1_Introduction_1-02,1
2864,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,level,level_2,1
2879,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,prerequisite,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,1
2891,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,prerequisite,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,1
2963,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,level,level_3,1
3013,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,level,level_1,1
3019,Course2_W4-S1-L5_Generative_vs,prerequisite,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,1
3031,Course1_W8-S1-L7_An_Example_Application_9-28,prerequisite,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,1
3041,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,prerequisite,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02,1
3051,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,level,level_2,1
3099,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,level,level_1,1
3114,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,level,level_1,1
3152,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,level,level_2,1
3284,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,level,level_1,1
3329,Course2_W3-S1-L5_Naive_Bayes-_Relationship_to_Language_Modeling_4-35,prerequisite,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,1
3364,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,level,level_3,1
3395,Course1_W10-S1-L2_Recap_of_GLMs_7-40,level,level_1,1
3398,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,level,level_2,1
3412,Course1_W6-S1-L1_Introduction_0-41,prerequisite,Course1_W5-S2-L9_Summary_1-48,1
3414,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,prerequisite,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,1
3438,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,prerequisite,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,1
3459,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,level,level_2,1
3468,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,level,level_1,1
3473,Course1_W8-S1-L1_Introduction_1-41,prerequisite,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,1
3474,Course1_W1-S2-L5_Trigram_Language_Models_9-40,level,level_1,1
3486,Course2_W6-S1-L3_CKY_Parsing_23-25,prerequisite,Course2_W6-S1-L2_Grammar_Transforms_12-05,1
3490,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,prerequisite,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,1
3568,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48,prerequisite,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,1
3570,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,prerequisite,Course2_W3-S1-L2_Naive_Bayes_3-19,1
3593,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,level,level_3,1
3625,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,level,level_1,1
3637,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,prerequisite,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,1
3661,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,level,level_2,1
3691,Course1_W4-S2-L1_Introduction_00-17,level,level_1,1
3694,Course2_W8-S3-L4_Summarizing_Multiple_Documents,prerequisite,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,1
3706,Course2_W3-S1-L1_What_is_Text_Classification_8-12,prerequisite,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,1
3732,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,level,level_1,1
3737,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,level,level_1,1
3790,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,level,level_2,1
3812,Course2_W3-S1-L2_Naive_Bayes_3-19,prerequisite,Course2_W3-S1-L1_What_is_Text_Classification_8-12,1
3872,Course2_W8-S2-L1_What_is_Question_Answering_7-28,prerequisite,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,1
3875,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,prerequisite,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,1
3899,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,level,level_3,1
3912,Course1_W6-S1-L1_Introduction_0-41,level,level_1,1
3929,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,level,level_3,1
3930,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,prerequisite,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,1
3960,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,level,level_3,1
3963,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31,level,level_1,1
3987,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,level,level_1,1
3997,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,level,level_1,1
4023,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,level,level_1,1
4026,Course1_W9-S1-L1_Introduction_0-36,level,level_1,1
4034,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,prerequisite,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,1
4043,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,prerequisite,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,1
4065,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,prerequisite,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,1
